episode,timestep,return
319,70984,-111.0
320,71095,-111.0
321,71204,-109.0
322,71291,-87.0
323,71400,-109.0
324,71518,-118.0
325,71627,-109.0
326,71737,-110.0
327,71838,-101.0
328,71947,-109.0
329,72058,-111.0
330,72170,-112.0
331,72278,-108.0
332,72382,-104.0
333,72489,-107.0
334,72601,-112.0
335,72709,-108.0
336,72820,-111.0
337,72929,-109.0
338,73041,-112.0
339,73152,-111.0
340,73254,-102.0
341,73366,-112.0
342,73472,-106.0
343,73558,-86.0
344,73662,-104.0
345,73777,-115.0
346,73882,-105.0
347,73970,-88.0
348,74081,-111.0
349,74188,-107.0
350,74275,-87.0
351,74384,-109.0
352,74497,-113.0
353,74590,-93.0
354,74682,-92.0
355,74790,-108.0
356,74895,-105.0
357,74997,-102.0
358,75106,-109.0
359,75217,-111.0
360,75326,-109.0
361,75433,-107.0
362,75539,-106.0
363,75650,-111.0
364,75758,-108.0
365,75893,-135.0
366,75993,-100.0
367,76103,-110.0
368,76192,-89.0
369,76281,-89.0
370,76460,-179.0
371,76575,-115.0
372,76679,-104.0
373,76785,-106.0
374,76950,-165.0
375,77062,-112.0
376,77170,-108.0
377,77286,-116.0
378,77392,-106.0
379,77498,-106.0
380,77626,-128.0
381,77738,-112.0
382,77852,-114.0
383,77962,-110.0
384,78072,-110.0
385,78191,-119.0
386,78303,-112.0
387,78431,-128.0
388,78528,-97.0
389,78640,-112.0
390,78749,-109.0
391,78846,-97.0
392,78935,-89.0
393,79057,-122.0
394,79167,-110.0
395,79269,-102.0
396,79381,-112.0
397,79480,-99.0
398,79595,-115.0
399,79705,-110.0
400,79822,-117.0
401,79923,-101.0
402,80056,-133.0
403,80168,-112.0
404,80275,-107.0
405,80385,-110.0
406,80499,-114.0
407,80608,-109.0
408,80722,-114.0
409,80829,-107.0
410,80936,-107.0
411,81047,-111.0
412,81157,-110.0
413,81264,-107.0
414,81383,-119.0
415,81475,-92.0
416,81588,-113.0
417,81696,-108.0
418,81809,-113.0
