episode,timestep,return
1355,192233,-180.0
1356,192325,-92.0
1357,192418,-93.0
1358,192533,-115.0
1359,192707,-174.0
1360,192799,-92.0
1361,192887,-88.0
1362,192990,-103.0
1363,193099,-109.0
1364,193262,-163.0
1365,193352,-90.0
1366,193469,-117.0
1367,193578,-109.0
1368,193685,-107.0
1369,193778,-93.0
1370,193893,-115.0
1371,194096,-203.0
1372,194215,-119.0
1373,194323,-108.0
1374,194416,-93.0
1375,194519,-103.0
1376,194609,-90.0
1377,194733,-124.0
1378,194846,-113.0
1379,194968,-122.0
1380,195101,-133.0
1381,195223,-122.0
1382,195311,-88.0
1383,195396,-85.0
1384,195506,-110.0
1385,195664,-158.0
1386,195751,-87.0
1387,195883,-132.0
1388,195995,-112.0
1389,196091,-96.0
1390,196212,-121.0
1391,196322,-110.0
1392,196447,-125.0
1393,196558,-111.0
1394,196644,-86.0
1395,196731,-87.0
1396,196832,-101.0
1397,196926,-94.0
1398,197044,-118.0
1399,197157,-113.0
1400,197293,-136.0
1401,197397,-104.0
1402,197490,-93.0
1403,197593,-103.0
1404,197689,-96.0
1405,197801,-112.0
1406,197958,-157.0
1407,198069,-111.0
1408,198182,-113.0
1409,198308,-126.0
1410,198426,-118.0
1411,198632,-206.0
1412,198718,-86.0
1413,198846,-128.0
1414,198952,-106.0
1415,199138,-186.0
1416,199255,-117.0
1417,199388,-133.0
1418,199504,-116.0
1419,199665,-161.0
1420,199755,-90.0
1421,199874,-119.0
1422,199988,-114.0
