episode,timestep,return,ep_length,epsilon
140,86967,-201.0,201,0.17381349999999995
141,87229,-262.0,262,0.1713245
142,87555,-326.0,326,0.16822749999999997
143,87731,-176.0,176,0.16655549999999997
144,87903,-172.0,172,0.16492150000000005
145,88066,-163.0,163,0.163373
146,88233,-167.0,167,0.16178650000000006
147,88482,-249.0,249,0.15942100000000003
148,88651,-169.0,169,0.1578155
149,88814,-163.0,163,0.15626700000000004
150,88979,-165.0,165,0.1546995000000001
151,89289,-310.0,310,0.15175450000000013
152,89445,-156.0,156,0.15027250000000003
153,89683,-238.0,238,0.14801150000000007
154,90045,-362.0,362,0.1445725000000001
155,90271,-226.0,226,0.14242549999999998
156,90462,-191.0,191,0.14061100000000004
157,90744,-282.0,282,0.13793200000000005
158,90910,-166.0,166,0.136355
159,91085,-175.0,175,0.1346925
160,91259,-174.0,174,0.13303949999999998
161,91418,-159.0,159,0.131529
162,91579,-161.0,161,0.12999950000000005
163,91735,-156.0,156,0.12851750000000006
164,91896,-161.0,161,0.126988
165,92078,-182.0,182,0.125259
166,92236,-158.0,158,0.12375800000000003
167,92395,-159.0,159,0.12224749999999995
168,92557,-162.0,162,0.1207085
169,92721,-164.0,164,0.11915050000000005
170,92882,-161.0,161,0.11762100000000009
171,93010,-128.0,128,0.11640499999999998
172,93171,-161.0,161,0.11487550000000002
173,93321,-150.0,150,0.11345050000000001
174,93475,-154.0,154,0.11198750000000002
175,93639,-164.0,164,0.11042950000000007
176,93794,-155.0,155,0.10895700000000008
177,93957,-163.0,163,0.10740850000000002
178,94113,-156.0,156,0.10592650000000003
179,94276,-163.0,163,0.10437799999999997
180,94434,-158.0,158,0.10287700000000011
181,94591,-157.0,157,0.10138550000000002
182,94743,-152.0,152,0.09994150000000002
183,94893,-150.0,150,0.0985165
184,95050,-157.0,157,0.09702500000000003
185,95154,-104.0,104,0.09603700000000004
186,95310,-156.0,156,0.09455500000000006
187,95473,-163.0,163,0.0930065000000001
188,95626,-153.0,153,0.091553
189,95775,-149.0,149,0.09013750000000009
190,95935,-160.0,160,0.08861750000000002
191,96105,-170.0,170,0.0870025000000001
192,96270,-165.0,165,0.08543500000000004
193,96427,-157.0,157,0.08394350000000006
194,96570,-143.0,143,0.08258500000000002
195,96736,-166.0,166,0.08100800000000008
196,96901,-165.0,165,0.07944050000000002
197,97097,-196.0,196,0.0775785
198,97256,-159.0,159,0.07606800000000002
199,97417,-161.0,161,0.07453850000000006
200,97516,-99.0,99,0.07359800000000005
201,97621,-105.0,105,0.07260050000000007
202,97748,-127.0,127,0.07139400000000007
203,97906,-158.0,158,0.06989299999999998
204,98065,-159.0,159,0.06838250000000001
205,98225,-160.0,160,0.06686250000000005
206,98379,-154.0,154,0.06539949999999994
207,98496,-117.0,117,0.06428800000000012
208,98652,-156.0,156,0.06280600000000014
209,98810,-158.0,158,0.061305000000000054
210,98970,-160.0,160,0.05978499999999998
211,99116,-146.0,146,0.05839799999999995
212,99273,-157.0,157,0.05690650000000008
213,99364,-91.0,91,0.056042000000000036
214,99523,-159.0,159,0.054531500000000066
215,99684,-161.0,161,0.053002000000000105
216,99785,-101.0,101,0.05204249999999999
217,99882,-97.0,97,0.05112099999999997
218,100042,-160.0,160,0.050000000000000044
219,100189,-147.0,147,0.050000000000000044
220,100356,-167.0,167,0.050000000000000044
221,100527,-171.0,171,0.050000000000000044
222,100708,-181.0,181,0.050000000000000044
223,100831,-123.0,123,0.050000000000000044
224,100988,-157.0,157,0.050000000000000044
225,101136,-148.0,148,0.050000000000000044
226,101289,-153.0,153,0.050000000000000044
227,101417,-128.0,128,0.050000000000000044
228,101583,-166.0,166,0.050000000000000044
229,101683,-100.0,100,0.050000000000000044
230,101850,-167.0,167,0.050000000000000044
231,101941,-91.0,91,0.050000000000000044
232,102100,-159.0,159,0.050000000000000044
233,102268,-168.0,168,0.050000000000000044
234,102360,-92.0,92,0.050000000000000044
235,102532,-172.0,172,0.050000000000000044
236,102697,-165.0,165,0.050000000000000044
237,102838,-141.0,141,0.050000000000000044
238,103007,-169.0,169,0.050000000000000044
239,103196,-189.0,189,0.050000000000000044
240,103379,-183.0,183,0.050000000000000044
241,103546,-167.0,167,0.050000000000000044
242,103691,-145.0,145,0.050000000000000044
243,103850,-159.0,159,0.050000000000000044
244,104015,-165.0,165,0.050000000000000044
245,104125,-110.0,110,0.050000000000000044
246,104231,-106.0,106,0.050000000000000044
247,104327,-96.0,96,0.050000000000000044
248,104493,-166.0,166,0.050000000000000044
249,104649,-156.0,156,0.050000000000000044
250,104750,-101.0,101,0.050000000000000044
251,104841,-91.0,91,0.050000000000000044
252,105006,-165.0,165,0.050000000000000044
253,105175,-169.0,169,0.050000000000000044
254,105273,-98.0,98,0.050000000000000044
255,105436,-163.0,163,0.050000000000000044
256,105598,-162.0,162,0.050000000000000044
257,105766,-168.0,168,0.050000000000000044
258,105933,-167.0,167,0.050000000000000044
259,106084,-151.0,151,0.050000000000000044
260,106252,-168.0,168,0.050000000000000044
261,106345,-93.0,93,0.050000000000000044
262,106440,-95.0,95,0.050000000000000044
263,106633,-193.0,193,0.050000000000000044
264,106816,-183.0,183,0.050000000000000044
265,106980,-164.0,164,0.050000000000000044
266,107152,-172.0,172,0.050000000000000044
267,107244,-92.0,92,0.050000000000000044
268,107407,-163.0,163,0.050000000000000044
269,107571,-164.0,164,0.050000000000000044
270,107737,-166.0,166,0.050000000000000044
271,107902,-165.0,165,0.050000000000000044
272,108060,-158.0,158,0.050000000000000044
273,108207,-147.0,147,0.050000000000000044
274,108375,-168.0,168,0.050000000000000044
275,108471,-96.0,96,0.050000000000000044
276,108637,-166.0,166,0.050000000000000044
277,108792,-155.0,155,0.050000000000000044
278,108885,-93.0,93,0.050000000000000044
279,108980,-95.0,95,0.050000000000000044
280,109099,-119.0,119,0.050000000000000044
281,109194,-95.0,95,0.050000000000000044
282,109362,-168.0,168,0.050000000000000044
283,109562,-200.0,200,0.050000000000000044
284,109712,-150.0,150,0.050000000000000044
285,109871,-159.0,159,0.050000000000000044
286,110031,-160.0,160,0.050000000000000044
287,110188,-157.0,157,0.050000000000000044
288,110295,-107.0,107,0.050000000000000044
289,110433,-138.0,138,0.050000000000000044
290,110593,-160.0,160,0.050000000000000044
291,110752,-159.0,159,0.050000000000000044
292,110895,-143.0,143,0.050000000000000044
293,111056,-161.0,161,0.050000000000000044
294,111224,-168.0,168,0.050000000000000044
295,111386,-162.0,162,0.050000000000000044
296,111547,-161.0,161,0.050000000000000044
297,111700,-153.0,153,0.050000000000000044
298,111835,-135.0,135,0.050000000000000044
299,111961,-126.0,126,0.050000000000000044
300,112133,-172.0,172,0.050000000000000044
301,112252,-119.0,119,0.050000000000000044
302,112375,-123.0,123,0.050000000000000044
303,112550,-175.0,175,0.050000000000000044
304,112783,-233.0,233,0.050000000000000044
