episode,mean,ci_lower,ci_upper,std_returns
120,-212.93333333333334,-243.2150150049192,-182.65165166174748,59.83696367816655
121,-245.8,-295.56194297028384,-196.0380570297162,98.33019204022062
122,-256.06666666666666,-290.80260862202357,-221.33072471130973,68.63863505506372
123,-256.2,-315.08739460812757,-197.3126053918724,116.36219317286866
124,-222.93333333333334,-253.91399309916025,-191.95267356750642,61.2181527181458
125,-224.2,-255.5007083938296,-192.89929160617038,61.85057261928408
126,-252.06666666666666,-313.30500950995884,-190.8283238233745,121.00769488847486
127,-200.86666666666667,-235.13865107721747,-166.59468225611587,67.72184942017523
128,-324.2,-553.0413348893848,-95.35866511061522,452.1932035461538
129,-221.33333333333334,-259.24498561030975,-183.42168105635693,74.91387647751843
130,-239.33333333333334,-289.45031714491535,-189.21634952175137,99.03175697163456
131,-213.13333333333333,-261.65620837746224,-164.61045828920442,95.88177905919119
132,-241.06666666666666,-288.22030619125496,-193.91302714207836,93.17615336316237
133,-197.73333333333332,-231.19699608652365,-164.26967058014299,66.12459619704472
134,-199.6,-241.76781572927126,-157.43218427072873,83.32410615582182
135,-238.0,-298.7188190194038,-177.28118098059622,119.98110962425154
136,-185.46666666666667,-205.51271068463615,-165.4206226486972,39.61122175455951
137,-203.33333333333334,-229.54798902508404,-177.11867764158265,51.8004718983224
138,-236.8,-286.4413655752718,-187.15863442472823,98.09192967143967
139,-180.46666666666667,-201.47180918762868,-159.46152414570466,41.506411820611795
140,-208.53333333333333,-245.55277814418514,-171.51388852248152,73.15086389707841
141,-192.46666666666667,-217.68287334000658,-167.25045999332676,49.82752474508664
142,-208.46666666666667,-253.67501702479967,-163.25831630853367,89.33223879926489
143,-202.06666666666666,-231.33568888723542,-172.7976444460979,57.83593654083554
144,-186.53333333333333,-210.10254801627028,-162.9641186503964,46.57304895418474
145,-191.06666666666666,-211.72561351444327,-170.40771981889006,40.82232504674644
146,-226.8,-266.88132642737486,-186.71867357262516,79.20117844241123
147,-212.4,-241.8413776972327,-182.9586223027673,58.1765130157065
148,-219.0,-254.35927882623048,-183.64072117376952,69.87035613668122
149,-190.66666666666666,-210.7406279247889,-170.59270540854442,39.66638655363282
150,-200.06666666666666,-230.61052289510815,-169.52281043822518,60.355023725360994
151,-201.93333333333334,-227.88536935650785,-175.98129731015882,51.28153230506627
152,-281.4,-403.2220967542424,-159.57790324575757,240.72191424961707
153,-189.0,-221.42640175330385,-156.57359824669615,64.0749561061106
154,-199.8,-225.7669879175678,-173.83301208243222,51.3110774264843
155,-212.13333333333333,-239.65215937203178,-184.61450729463488,54.37752803829497
156,-275.06666666666666,-407.421805113588,-142.71152821974536,261.5353300968894
157,-207.4,-246.56112917223462,-168.2388708277654,77.38285770548066
158,-211.53333333333333,-246.67604365525315,-176.3906230114135,69.44241419254438
159,-227.6,-269.7560719738766,-185.44392802612336,83.30090035527827
160,-251.33333333333334,-324.02550692806034,-178.64115973860635,143.64060088367154
161,-210.66666666666666,-235.73401464795128,-185.59931868538203,49.533378196480356
162,-178.46666666666667,-201.94879123203987,-154.98454210129347,46.40095784451964
163,-228.93333333333334,-275.38876680544166,-182.477899861225,91.79648988689904
164,-201.8,-241.75931089607138,-161.84068910392864,78.96007429918828
165,-220.06666666666666,-261.87365674107264,-178.25967659226066,82.6111103638945
166,-200.26666666666668,-235.83463577080013,-164.69869756253323,70.28273061159635
167,-215.4,-272.07524136536364,-158.7247586346364,111.99095201547907
168,-229.4,-275.81805285590224,-182.98194714409777,91.72262534402294
169,-207.53333333333333,-260.1830395464351,-154.88362712023158,104.03644660513076
170,-214.6,-260.326538161845,-168.873461838155,90.35618407170591
171,-220.46666666666667,-273.31058871697684,-167.6227446163565,104.4202194128236
172,-205.66666666666666,-247.92583700785917,-163.40749632547414,83.50462395713318
173,-191.06666666666666,-229.5530318536222,-152.58030147971112,76.0495160332325
174,-201.53333333333333,-244.4377354888922,-158.62893117777446,84.77960970789039
175,-180.26666666666668,-211.5664295548941,-148.96690377843925,61.84870428895194
176,-209.73333333333332,-251.02543344909844,-168.4412332175682,81.59368167259576
177,-193.4,-230.74726726638332,-156.0527327336167,73.79864497401019
178,-252.86666666666667,-360.28005004081365,-145.45328329251967,212.25012498360408
179,-265.0,-384.72789231883735,-145.27210768116265,236.5837413404959
180,-265.06666666666666,-419.8560420570601,-110.27729127627319,305.865649518797
181,-256.4,-349.55219243462693,-163.24780756537302,184.06984181735655
182,-250.53333333333333,-338.1061034384378,-162.96056322822886,173.04483683587776
183,-235.8,-300.6122999794192,-170.9877000205808,128.06987676004587
184,-189.6,-226.04208766796984,-153.15791233203015,72.00999930565199
185,-193.4,-234.1959664760024,-152.6040335239976,80.61331569081294
186,-279.8,-391.0173998345383,-168.58260016546174,219.76690682023383
187,-245.8,-356.5421700475679,-135.05782995243212,218.82784710056137
188,-268.93333333333334,-378.58788860970685,-159.27877805695982,216.6787073577425
189,-191.66666666666666,-244.71111074617139,-138.62222258716193,104.81645333099614
190,-214.6,-269.2670356800553,-159.93296431994466,108.02271366090866
191,-242.6,-384.3846894376587,-100.81531056234127,280.16823517308313
192,-174.6,-189.45559901331632,-159.74440098668367,29.354840600259898
193,-199.53333333333333,-257.29741984518034,-141.76924682148632,114.14252299452451
194,-175.06666666666666,-214.03359034379648,-136.09974298953685,76.99910533390776
195,-187.93333333333334,-219.5430377147647,-156.32362895190198,62.46115237133842
196,-211.8,-301.00260294757226,-122.59739705242778,176.26540594607138
197,-223.73333333333332,-306.2926378494967,-141.17402881716995,163.13816911508545
198,-262.6666666666667,-442.8230381583156,-82.51029517501772,355.99113596954754
199,-261.06666666666666,-432.46970616121695,-89.66362717211638,338.69444767945174
200,-208.13333333333333,-261.4344006219318,-154.83226604473484,105.32354384888922
201,-179.66666666666666,-221.234141073859,-138.0991922594743,82.13782455253013
202,-222.73333333333332,-310.0795710337335,-135.38709563293312,172.5972061058798
203,-209.2,-279.0257041445977,-139.3742958554023,137.97642310675158
204,-188.33333333333334,-223.77685232926285,-152.88981433740383,70.03681571541895
205,-181.0,-211.55756709338402,-150.44243290661598,60.382116557802114
206,-159.86666666666667,-182.1581600091289,-137.57517332420446,44.048256366045734
207,-220.0,-288.9246539990509,-151.07534600094908,136.19593728644526
208,-179.46666666666667,-204.3433946734992,-154.58993865983413,49.15671085642552
209,-184.66666666666666,-210.01038654914407,-159.32294678418924,50.07949236519431
210,-163.73333333333332,-181.45634525360032,-146.01032141306632,35.02088265909673
211,-177.93333333333334,-228.3044322732494,-127.56223439341727,99.53389149207196
212,-185.2,-230.01779046762567,-140.3822095323743,88.5604878035346
213,-159.33333333333334,-179.14962729487848,-139.5170393717882,39.157232906436185
214,-187.8,-240.52208125380992,-135.0779187461901,104.17946054765305
215,-165.46666666666667,-185.51271068463615,-145.4206226486972,39.611221754559516
216,-169.4,-190.04847571022026,-148.75152428977975,40.80163395420989
217,-202.13333333333333,-269.0422884547297,-135.22437821193694,132.21289229454473
218,-172.86666666666667,-196.42791149072593,-149.30542184260742,46.55730041811082
219,-174.2,-199.15507563959238,-149.2449243604076,49.31152671198355
220,-179.66666666666666,-194.6628134507699,-164.6705198825634,29.632564669445824
221,-161.4,-179.8214977024128,-142.9785022975872,36.40109888451171
222,-172.26666666666668,-190.7017530080651,-153.83158032526825,36.42795019700609
223,-180.66666666666666,-197.1012576845754,-164.23207564875793,32.47494760922983
224,-187.6,-242.05267408024042,-133.14732591975957,107.59913258634259
225,-220.6,-284.98640273846644,-156.21359726153355,127.22829873892049
226,-207.0,-253.9564443098306,-160.0435556901694,92.78649326994385
227,-162.46666666666667,-181.331482356002,-143.60185097733134,37.27710050717762
228,-192.6,-233.67541531053985,-151.52458468946014,81.16550991646636
229,-197.53333333333333,-272.5892190592623,-122.47744760740439,148.31132420988254
230,-174.4,-196.19259904544558,-152.60740095455444,43.062435292646114
231,-194.46666666666667,-237.07957561184864,-151.8537577214847,84.20361565211371
232,-199.4,-244.73805713427862,-154.0619428657214,89.58854093390889
233,-194.86666666666667,-243.1899724942247,-146.54336083910866,95.48742791011227
234,-203.33333333333334,-263.4276895606062,-143.23897710606047,118.74716370881828
235,-186.53333333333333,-267.4382391253483,-105.62842754131839,159.86905753007852
236,-205.2,-278.1998075808727,-132.2001924191273,144.2484893046255
237,-193.53333333333333,-237.05528588212482,-150.01138078454184,85.99989664076476
238,-163.4,-182.2384902626983,-144.56150973730172,37.22508115057194
239,-171.4,-199.31977021236227,-143.48022978763774,55.169798501233146
240,-198.93333333333334,-258.82328971977904,-139.0433769468876,118.34326718866981
241,-195.26666666666668,-236.39926594122605,-154.1340673921073,81.27850611050597
242,-171.4,-189.10405555044758,-153.69594444955243,34.98342464653797
243,-176.46666666666667,-205.93185030757738,-147.00148302575596,58.22355384397471
244,-179.13333333333333,-213.1317186265814,-145.13494804008525,67.18121430545563
245,-211.73333333333332,-314.3642381675083,-109.10242849915835,202.79989042293772
246,-164.53333333333333,-181.6330691562873,-147.43359751037937,33.7892816667587
247,-150.53333333333333,-166.3562699863673,-134.71039668029937,31.26631129862015
248,-150.13333333333333,-167.84131033973526,-132.4253563269314,34.991173490213534
249,-168.73333333333332,-188.84026859826488,-148.62639806840176,39.731543583852314
250,-161.66666666666666,-193.6678199051453,-129.665513428188,63.23465997554049
251,-143.26666666666668,-157.5619423887495,-128.97139094458387,28.24763510258671
252,-164.4,-185.64914816174993,-143.15085183825008,41.9885698732405
253,-161.33333333333334,-183.161837810363,-139.50482885630367,43.1333848531377
254,-154.33333333333334,-168.5389896298518,-140.12767703681487,28.070546050184983
255,-144.66666666666666,-159.99166273820262,-129.3416705951307,30.282374778445337
256,-161.0,-178.64048394397892,-143.35951605602108,34.8578063949335
257,-147.2,-162.19789245045968,-132.2021075495403,29.63601412695934
258,-160.06666666666666,-186.5919785440526,-133.54135478928072,52.414332221466125
259,-155.6,-173.0866958139292,-138.1133041860708,34.55391921813405
260,-160.66666666666666,-203.05533075577495,-118.27800257755837,83.76050514545756
261,-201.86666666666667,-290.7975718902248,-112.93576144310855,175.72852800713818
262,-152.0,-170.07172435970992,-133.92827564029008,35.70994259306503
263,-171.86666666666667,-215.4274398652597,-128.30589346807366,86.07660670717813
264,-203.0,-278.62202806648924,-127.37797193351075,149.43002821833815
265,-148.06666666666666,-160.4785786320746,-135.65475470125872,24.526085886029364
266,-146.93333333333334,-163.74467192678577,-130.1219947398809,33.219405306069056
267,-140.93333333333334,-155.41373134709792,-126.45293531956877,28.613438956002632
268,-140.33333333333334,-160.77226217386087,-119.89440449280582,40.3875668437151
269,-146.66666666666666,-164.0022155165279,-129.3311178168054,34.25525101677438
270,-148.8,-164.63623937401528,-132.96376062598475,31.292597633732278
271,-151.8,-169.16952742144832,-134.4304725785517,34.322393078960374
272,-135.06666666666666,-148.3747528790804,-121.75858045425291,26.296936872740307
273,-236.93333333333334,-379.50467481842725,-94.36199184823946,281.7226689888874
274,-173.4,-229.075286492702,-117.72471350729802,110.01502927630692
275,-135.4,-149.79446204621763,-121.00553795378237,28.443628460518187
276,-161.13333333333333,-179.90196754319803,-142.36469912346863,37.08704475809428
277,-151.33333333333334,-171.1073636799306,-131.5593029867361,39.07371949988324
278,-146.4,-167.24680095468955,-125.55319904531046,41.193526999598696
279,-171.0,-186.80472615671934,-155.19527384328066,31.23032714099123
280,-251.73333333333332,-461.86007886345726,-41.60658780320935,415.21295205659897
281,-162.26666666666668,-181.68064375001035,-142.852689583323,38.362249962980826
282,-147.53333333333333,-165.73859689129412,-129.32806977537254,35.97381763943821
283,-152.8,-165.95158539492485,-139.64841460507517,25.987689393249262
284,-151.6,-161.28662238117886,-141.91337761882113,19.14088120576828
285,-149.06666666666666,-162.62514103074912,-135.5081923025842,26.79170684289367
286,-177.4,-202.58092789394385,-152.21907210605616,49.75781345678284
287,-143.33333333333334,-156.4334948477462,-130.23317181892048,25.886075192830774
288,-148.06666666666666,-162.62584977765403,-133.5074835556793,28.769119246550154
289,-149.06666666666666,-157.98550024594232,-140.147833087391,17.62372138782146
290,-238.86666666666667,-435.27269493773275,-42.4606383956006,388.1006513207051
291,-145.8,-158.10655266108265,-133.49344733891738,24.31789464571306
292,-161.73333333333332,-185.51571963480848,-137.95094703185816,46.9942786115738
293,-154.53333333333333,-171.60608885828637,-137.4605778083803,33.73596827653766
294,-140.73333333333332,-154.79620749717864,-126.670459169488,27.788406855297687
295,-129.6,-142.72507479089802,-116.47492520910197,25.935304123915724
296,-145.33333333333334,-157.30723007830568,-133.359436588361,23.660562593104636
297,-151.8,-166.5568896210851,-137.04311037891492,29.159789665450834
298,-146.26666666666668,-161.30238258921935,-131.230950744114,29.710753758342936
299,-142.66666666666666,-156.46133754322594,-128.87199579010738,27.258433964962517
300,-147.0,-158.48232171644742,-135.51767828355258,22.68920448142684
301,-174.73333333333332,-208.4567098805913,-141.00995678607535,66.63779374765912
302,-142.73333333333332,-155.97453742314886,-129.49212924351778,26.16477700183121
303,-155.2,-167.38805547155812,-143.01194452844186,24.083742787753458
304,-141.13333333333333,-157.35481631435894,-124.91185035230771,32.0538435899486
305,-149.13333333333333,-167.12064930546995,-131.1460173611967,35.543150613803995
306,-144.53333333333333,-163.01503902341548,-126.05162764325118,36.52007058530357
307,-136.2,-154.78427309312903,-117.61572690687095,36.72274499543846
308,-136.66666666666666,-155.9696908780099,-117.36364245532341,38.14300576631171
309,-124.53333333333333,-138.09357056058195,-110.97309610608471,26.79519028150803
310,-126.06666666666666,-142.06302779361374,-110.07030553971958,31.609000124788647
311,-137.26666666666668,-155.3765827095831,-119.15675062375027,35.785409813994804
312,-145.13333333333333,-163.35734420706598,-126.90932245960067,36.0108625587089
313,-128.6,-143.0075036252333,-114.19249637476668,28.469398775995717
314,-143.46666666666667,-163.6569852677887,-123.27634806554462,39.89631004937117
315,-133.73333333333332,-153.39549018273237,-114.07117648393427,38.852656136857476
316,-135.66666666666666,-149.84224361880254,-121.49108971453077,28.011108907399976
317,-139.6,-154.55068791579689,-124.64931208420309,29.542737404196878
318,-144.13333333333333,-162.99543364920285,-125.27123301746379,37.2717348968655
319,-149.66666666666666,-171.8166259375932,-127.51670739574014,43.76858335483214
320,-141.53333333333333,-158.08304602279424,-124.98362064387241,32.70242940346923
321,-149.6,-176.54763601753098,-122.65236398246901,53.248849752835035
322,-132.73333333333332,-146.57471051165604,-118.89195615501062,27.350726173581247
323,-145.26666666666668,-164.80250594771152,-125.73082738562184,38.60305111717926
324,-124.73333333333333,-136.76100895496776,-112.7056577116989,23.766830293966887
325,-147.0,-163.18052250220754,-130.81947749779246,31.972905195910283
326,-131.46666666666667,-144.9675962105221,-117.96573712281125,26.677997592689668
327,-141.33333333333334,-169.85500638176234,-112.81166028490433,56.359165674764526
328,-127.0,-144.92278033986668,-109.07721966013334,35.41562743573332
329,-142.33333333333334,-157.92999333665648,-126.73667333001022,30.8191859435356
330,-131.26666666666668,-144.65150928697307,-117.8818240463603,26.448608449007082
331,-139.46666666666667,-152.789370625337,-126.14396270799634,26.32582171346013
332,-162.2,-206.3414357436537,-118.05856425634627,87.22400281268146
333,-128.8,-145.67391915748485,-111.92608084251519,33.3430652460148
334,-134.93333333333334,-148.8840628711402,-120.98260379552647,27.56680773845403
335,-131.26666666666668,-146.16663962612512,-116.36669370720824,29.442524046389472
336,-157.6,-173.65850273358149,-141.5414972664185,31.73179267968746
337,-134.33333333333334,-150.28929747542466,-118.37736919124202,31.529175201531817
338,-139.2,-153.26861974434988,-125.13138025565011,27.799760190812204
339,-148.4,-165.51962732720028,-131.28037267279973,33.82858751608369
340,-151.33333333333334,-165.58458864386392,-137.08207802280276,28.160650245017823
341,-141.93333333333334,-154.81638636923776,-129.0502802974289,25.457066253247294
342,-133.53333333333333,-146.33982217008815,-120.72684449657851,25.30577448374624
343,-147.6,-160.94822517707047,-134.25177482292952,26.37625194501043
344,-133.4,-145.80549085597897,-120.99450914402104,24.51339769731374
345,-146.86666666666667,-161.95611156822076,-131.77722176511259,29.81692286083339
346,-139.66666666666666,-154.86861632720303,-124.4647170061303,30.039233604663675
347,-135.0,-151.84434739344658,-118.15565260655342,33.28463108803621
348,-145.73333333333332,-158.27252315180658,-133.19414351486006,24.777588439734988
349,-139.73333333333332,-160.2928658716133,-119.17380079505335,40.62588118702439
350,-161.93333333333334,-196.70071901419064,-127.16594765247604,68.70076823118904
351,-131.26666666666668,-145.23574208239734,-117.29759125093604,27.60305941175523
352,-138.26666666666668,-150.9062157256646,-125.62711760766878,24.97589949442373
353,-139.06666666666666,-157.12654591978009,-121.00678741355323,35.68653652133938
354,-140.4,-153.50945527472442,-127.29054472527558,25.90443977390748
355,-159.66666666666666,-216.4345790637764,-102.89875426955692,112.1740710780447
356,-145.6,-167.8116422885737,-123.3883577114263,43.890469732429764
357,-141.6,-158.4218299651904,-124.77817003480959,33.24013638158945
358,-137.13333333333333,-163.04481118246275,-111.22185548420389,51.20138887005138
359,-127.2,-142.55564067768657,-111.84435932231344,30.34292888521695
360,-197.8,-343.99716363626516,-51.602836363734866,288.8873367479671
361,-122.13333333333334,-135.1540115155912,-109.11265515107547,25.729015181740287
362,-148.2,-173.5494680408792,-122.8505319591208,50.09085079466442
363,-144.53333333333333,-164.41431425853287,-124.6523524081338,39.28505511712508
364,-126.26666666666667,-142.55076026793336,-109.98257306539998,32.17756292132074
365,-146.2,-169.12535402271175,-123.27464597728823,45.3007726203428
366,-147.66666666666666,-167.7125403383044,-127.62079299502892,39.61088514817893
367,-142.0,-159.07688860549382,-124.9231113945062,33.7441352929167
368,-223.66666666666666,-388.6244882997311,-58.70884503360219,325.9586204140369
369,-131.33333333333334,-145.53057383724558,-117.13609282942112,28.053916343751762
370,-143.4,-163.98802510198587,-122.81197489801414,40.68218283229158
371,-159.0,-192.83181808101165,-125.16818191898835,66.85207551003933
372,-145.2,-166.77084656454426,-123.62915343545572,42.62424974901806
373,-156.93333333333334,-178.26721614847906,-135.5994505181876,42.15600655765307
374,-150.8,-162.6844907038076,-138.91550929619243,23.48389519081818
375,-142.13333333333333,-156.880578103999,-127.38608856266765,29.14073132613906
376,-161.13333333333333,-184.8318626804218,-137.43480398624484,46.828576270857894
377,-171.0,-232.99138451967875,-109.00861548032125,122.4957142107429
378,-152.0,-168.7426785060084,-135.2573214939916,33.08373215544663
379,-136.06666666666666,-147.60308550120652,-124.5302478321268,22.796101031146144
380,-143.53333333333333,-164.23306700562253,-122.83359966104412,40.90292029780868
381,-135.73333333333332,-149.44208724272085,-122.02457942394578,27.088661014445798
382,-153.86666666666667,-169.04186227197138,-138.69147106136197,29.98636727284954
383,-184.86666666666667,-235.69981796572142,-134.03351536761193,100.44691245738825
384,-161.26666666666668,-183.56398033578967,-138.9693529975437,44.05975740085528
385,-151.0,-175.29908193967646,-126.70091806032353,48.01527534719203
386,-150.33333333333334,-167.55326335426915,-133.11340331239754,34.02678683364361
387,-142.73333333333332,-160.6984240116873,-124.76824265497933,35.49923316855669
388,-161.06666666666666,-195.7046559265872,-126.42867740674612,68.44507936213449
389,-137.2,-150.910912546014,-123.48908745398597,27.09292650613194
390,-138.8,-152.48099344021153,-125.11900655978847,27.033805996689892
