episode,mean,ci_lower,ci_upper,std
122,-217.73333333333332,-260.08363434726203,-175.3830323194046,83.68469925194742
123,-224.6,-262.66990768222763,-186.5300923177724,75.22659104332723
124,-228.86666666666667,-260.5257016750061,-197.20763165832727,62.55863027770207
125,-346.4,-552.1484984447436,-140.6515015552564,406.5614836651401
126,-238.6,-298.76850268519047,-178.4314973148095,118.89367799284648
127,-347.0,-573.3554774596806,-120.64452254031934,447.28111965518957
128,-214.6,-250.51589103942092,-178.68410896057907,70.97022849993745
129,-205.33333333333334,-230.5046763808311,-180.16199028583557,49.73887368603712
130,-217.4,-272.6643695284564,-162.13563047154364,109.20305246038988
131,-199.0,-225.48636217628484,-172.51363782371516,52.3373671481476
132,-201.66666666666666,-260.0419664863424,-143.2913668469909,115.35028777115768
133,-208.06666666666666,-236.48146455582085,-179.65186877751248,56.14797908701217
134,-266.6666666666667,-344.3228388369981,-189.0104944963353,153.4495211968925
135,-201.0,-228.7524434159509,-173.2475565840491,54.83915875843952
136,-230.46666666666667,-276.48800337878714,-184.44532995454617,90.9387095184932
137,-183.46666666666667,-213.51083299805532,-153.42250033527802,59.3676305368132
138,-211.86666666666667,-233.62560287160028,-190.10773046173307,42.99591711882523
139,-201.46666666666667,-233.86244446929146,-169.07088886404188,64.0144428147968
140,-194.26666666666668,-212.7424589598069,-175.79087437352646,36.50838564250989
141,-238.73333333333332,-328.64785079898775,-148.81881586767886,177.67215751365083
142,-203.26666666666668,-234.20265424627897,-172.3306790870544,61.129879946080564
143,-214.06666666666666,-251.69751726639745,-176.43581606693587,74.35900901855958
144,-296.6,-481.96841428367577,-111.23158571632425,366.2901946089558
145,-195.0,-229.16377392632273,-160.83622607367727,67.50802421440974
146,-182.73333333333332,-206.7521746684494,-158.71449199821723,47.46151657454232
147,-230.26666666666668,-324.3561879132689,-136.17714542006445,185.92201471465276
148,-187.13333333333333,-211.75688797999302,-162.50977868667363,48.65643728109251
149,-299.6666666666667,-495.9768561767414,-103.35647715659192,387.9112727874192
150,-213.46666666666667,-256.2766509420581,-170.65668239127527,84.5930388520369
151,-192.13333333333333,-217.64706098234902,-166.61960568431763,50.415429736892605
152,-194.26666666666668,-224.9120906058915,-163.62124272744185,60.55572273167546
153,-191.73333333333332,-222.24419119616513,-161.2224754705015,60.289818561861864
154,-252.46666666666667,-341.368192682149,-163.56514065118435,175.67047434203494
155,-197.6,-228.43777626800536,-166.76222373199462,60.93581322451792
156,-169.6,-191.10393842583775,-148.09606157416223,42.492038469969096
157,-203.06666666666666,-225.35019288805404,-180.7831404452793,44.032513239902876
158,-182.13333333333333,-201.9635803507149,-162.30308631595176,39.18480431096842
159,-312.26666666666665,-541.1197348702469,-83.41359846308632,452.21638871476364
160,-204.86666666666667,-230.92794689217732,-178.80538644115603,51.49740015012624
161,-207.6,-235.77483619276052,-179.42516380723947,55.67381191667527
162,-178.66666666666666,-202.84717971455834,-154.48615361877498,47.780981804712034
163,-187.86666666666667,-219.64144002704964,-156.0918933062837,62.78733063993793
164,-176.4,-192.2691963473615,-160.53080365263853,31.35772100562582
165,-178.06666666666666,-201.13624812926062,-154.9970852040727,45.58576775949071
166,-176.26666666666668,-193.7969201722601,-158.73641316107327,34.6399897356926
167,-163.0,-177.8316739746021,-148.1683260253979,29.307564438781558
168,-199.53333333333333,-237.13304602569505,-161.9336206409716,74.2974801427044
169,-187.93333333333334,-214.583226315677,-161.28344035098968,52.66050596878926
170,-186.6,-229.26333700341155,-143.93666299658844,84.30326209584062
171,-166.86666666666667,-190.97306721583695,-142.7602661174964,47.6345346244601
172,-207.4,-270.5910268510402,-144.20897314895976,124.86622174684928
173,-183.13333333333333,-224.4247718633904,-141.84189480327626,81.59237437135627
174,-161.2,-180.3926160616235,-142.00738393837648,37.924837947357574
175,-185.33333333333334,-212.5576113001558,-158.1090553665109,53.79549753980862
176,-171.8,-196.15256509783813,-147.4474349021619,48.120958704775056
177,-163.73333333333332,-180.7596228479938,-146.70704381867284,33.64415088672753
178,-167.93333333333334,-186.54722691293114,-149.31943975373554,36.78127542952014
179,-159.86666666666667,-180.0645946102656,-139.66873872306775,39.91134620074291
180,-169.33333333333334,-185.73048155873906,-152.93618510792763,32.400960205250435
181,-196.8,-224.24012444416226,-169.35987555583776,54.22201275005075
182,-196.73333333333332,-242.6761743374106,-150.79049232925604,90.78360106441153
183,-172.73333333333332,-205.43994215875665,-140.02672450791,64.6286486182577
184,-173.06666666666666,-194.0438289250565,-152.08950440827684,41.45112248848704
185,-158.13333333333333,-172.51482112120118,-143.75184554546547,28.417991171478363
186,-162.73333333333332,-183.55363606283626,-141.91303060383038,41.1411661910009
187,-149.66666666666666,-163.48606953740256,-135.84726379593076,27.307304680046485
188,-167.66666666666666,-190.72603249906962,-144.6073008342637,45.5655815525515
189,-165.06666666666666,-199.8394538743754,-130.29387945895792,68.71144171258686
190,-156.13333333333333,-188.43621942202918,-123.83044724463748,63.830887681609305
191,-178.26666666666668,-241.65157484215285,-114.88175849118049,125.24933355333896
192,-137.53333333333333,-152.60579610833145,-122.46087055833522,29.783365976479033
193,-182.06666666666666,-231.09487093470148,-133.03846239863185,96.88031562477259
194,-150.26666666666668,-165.23865685476767,-135.2946764785657,29.58483094800817
195,-148.93333333333334,-168.42717681654997,-129.4394898501167,38.520066920444926
196,-144.2,-167.98434852680316,-120.41565147319682,46.9981559921947
197,-145.93333333333334,-161.72126997894748,-130.1453966877192,31.197150867061918
198,-234.0,-388.4522007324956,-79.54779926750439,305.19938837859206
199,-184.13333333333333,-253.06414694212782,-115.20251972453882,136.2081087486677
200,-184.93333333333334,-268.44629714649983,-101.42036952016683,165.02261124531455
201,-177.13333333333333,-215.60700855698224,-138.65965810968441,76.02444051458423
202,-183.26666666666668,-265.74258616626184,-100.79074716707152,162.97339932912024
203,-169.0,-218.31970017030608,-119.68029982969392,97.45631499976456
204,-215.93333333333334,-369.13290557371863,-62.73376109294807,302.72417955771033
205,-172.73333333333332,-237.35654539605662,-108.11012127061004,127.69623678436608
206,-161.2,-203.6347720227436,-118.76522797725639,83.85161497152774
207,-150.0,-179.44961147451693,-120.55038852548306,58.192783057695394
208,-191.66666666666666,-298.42487849410685,-84.90845483922647,210.95549820334674
209,-246.6,-406.9679617679292,-86.2320382320708,316.8890026491926
210,-283.6,-517.911370481057,-49.28862951894308,463.00205903069883
211,-269.93333333333334,-504.689625717048,-35.17704094961866,463.8812300099623
212,-168.26666666666668,-197.1569849136991,-139.37634841963427,57.087612978259614
213,-188.4,-266.4255734532667,-110.37442654673336,154.1794625320333
214,-133.33333333333334,-149.21529197735362,-117.45137468931307,31.38293945583952
215,-138.26666666666668,-156.40202007048765,-120.1313132628457,35.83567434213503
216,-147.53333333333333,-176.20736844629326,-118.8592982203734,56.66023492911252
217,-135.33333333333334,-149.21806293632338,-121.4486037303433,27.436391081108965
218,-140.66666666666666,-154.2492974923995,-127.08403584093381,26.839440298850413
219,-143.53333333333333,-160.9937119945363,-126.07295467213035,34.501916210874754
220,-143.8,-158.90226317697673,-128.6977368230233,29.842251925751178
221,-144.06666666666666,-162.17092510903728,-125.96240822429604,35.774230327926766
222,-142.0,-155.04181636974783,-128.95818363025217,25.770784492004378
223,-146.06666666666666,-163.18596155003448,-128.94737178329885,33.82793060311093
224,-142.06666666666666,-152.9747379481298,-131.1585953852035,21.554478781811348
225,-156.8,-174.90966463153492,-138.6903353684651,35.78491302211031
226,-146.73333333333332,-157.44396238288203,-136.0227042837846,21.164330579748768
227,-158.66666666666666,-196.01021549126037,-121.32311784207295,73.79129728874236
228,-134.86666666666667,-145.68104712836535,-124.05228620496798,21.369344605974437
229,-150.2,-168.3783586888977,-132.0216413111023,35.92065329769677
230,-148.0,-168.88215229435042,-127.11784770564958,41.26338166785009
231,-188.8,-222.39490568788335,-155.20509431211667,66.38393379927605
232,-143.2,-153.9547477970326,-132.44525220296737,21.251509750289898
233,-161.2,-183.92939061020138,-138.4706093897986,44.91354658303736
234,-139.26666666666668,-154.89809959925242,-123.63523373408094,30.88789766595037
235,-142.13333333333333,-153.96406776593787,-130.30259890072878,23.377672158612274
236,-146.86666666666667,-166.8726394163047,-126.86069391702864,39.532040451034426
237,-147.2,-157.94203983111834,-136.45796016888164,21.226398658274558
238,-152.26666666666668,-184.1651093937782,-120.36822393955514,63.03170278166025
239,-151.73333333333332,-168.69330962961305,-134.7733570370536,33.513115177328544
240,-129.46666666666667,-140.02218279665152,-118.91115053668182,20.85782560308933
241,-141.66666666666666,-156.6023487041876,-126.73098462914571,29.51308560998362
242,-134.0,-146.54263881503587,-121.45736118496413,24.784403698024825
243,-161.66666666666666,-205.81640487318043,-117.51692846015288,87.24040857818633
244,-139.2,-154.0824687079948,-124.31753129200519,29.407935436998407
245,-138.6,-151.5917103415986,-125.60828965840139,25.671774383552066
246,-129.46666666666667,-143.61958183921968,-115.31375149411365,27.966328961012305
247,-133.26666666666668,-154.1361146488602,-112.39721868447316,41.23827779570281
248,-125.26666666666667,-139.58938644149114,-110.94394689184219,28.301864877699412
249,-147.66666666666666,-168.09640452688006,-127.23692880645325,40.36940535713759
250,-137.13333333333333,-148.48835939100357,-125.77830727566308,22.43766674342252
251,-152.06666666666666,-176.19614568607668,-127.93718764725665,47.68013795654912
252,-134.6,-147.86224826926247,-121.33775173073752,26.206360551082504
253,-137.53333333333333,-152.2747881647992,-122.79187850186747,29.12929033731436
254,-126.4,-142.34647348823907,-110.45352651176094,31.51042155647345
255,-130.53333333333333,-144.07340987559743,-116.99325679106924,26.75535252783803
256,-142.0,-156.99197154035008,-127.00802845964992,29.624314338056838
257,-129.8,-143.75162700826604,-115.848372991734,27.568581150771372
258,-149.86666666666667,-169.16632943554924,-130.5670038977841,38.13636351597019
259,-140.8,-161.84033601759566,-119.75966398240435,41.57595458916127
260,-132.13333333333333,-144.25349137655175,-120.01317529011489,23.94957666060555
261,-119.53333333333333,-131.6886580875915,-107.37800857907516,24.01906650050238
262,-127.0,-140.79632105550849,-113.20367894449151,27.26169473822198
263,-132.0,-152.3076347328891,-111.69236526711089,40.12812812313411
264,-124.93333333333334,-142.39527649786922,-107.47139016879746,34.50500768809588
265,-142.86666666666667,-169.5763311658561,-116.15700216747726,52.77861519803472
266,-133.53333333333333,-153.2669131035663,-113.79975356310035,38.993788679167295
267,-118.06666666666666,-131.40806820778974,-104.72526512554357,26.36276835909984
268,-123.33333333333333,-136.57479530923536,-110.0918713574313,26.165286587809852
269,-122.33333333333333,-136.60494103430278,-108.06172563236389,28.200866810949073
270,-128.66666666666666,-145.34770523456476,-111.98562809876856,32.961930903527005
271,-127.46666666666667,-144.12025166254114,-110.81308167079222,32.90768231819973
272,-128.86666666666667,-141.4254486977278,-116.30788463560555,24.816302885177898
273,-118.26666666666667,-131.24478977927143,-105.2885435540619,25.64492585721827
274,-130.06666666666666,-146.04273519894795,-114.09059813438539,31.56890171601723
275,-142.53333333333333,-164.7188762108554,-120.34779045581126,43.838896985313035
276,-127.4,-140.27819272344618,-114.52180727655383,25.447462217937044
277,-126.73333333333333,-139.66796940059834,-113.79869726606833,25.55899493763834
278,-130.33333333333334,-145.13350854751138,-115.53315811915529,29.24532251299152
279,-123.4,-136.97022245948827,-109.82977754051173,26.814921219350992
280,-129.4,-144.98256840332957,-113.81743159667046,30.791340774098593
281,-130.33333333333334,-144.16631995281702,-116.50034671384965,27.334146329372636
282,-118.66666666666667,-129.4665123720117,-107.86682096132165,21.340623754291304
283,-118.06666666666666,-130.2844774713591,-105.84885586197423,24.142539680452472
284,-144.86666666666667,-161.20142855974927,-128.53190477358407,32.277684069475754
285,-131.26666666666668,-144.7708838669561,-117.76244946637726,26.684494040963607
286,-130.4,-151.9134641210775,-108.88653587892252,42.510861357226496
287,-125.66666666666667,-138.78636350146576,-112.54696983186759,25.924677218605616
288,-128.4,-146.5854954852609,-110.21450451473912,35.934755692319186
289,-133.0,-145.92741802870506,-120.07258197129494,25.544732007467474
290,-127.93333333333334,-138.31696316180924,-117.54970350485742,20.518176223913166
291,-139.06666666666666,-149.2945647006027,-128.83876863273062,20.21044834292951
292,-138.33333333333334,-152.1502649967886,-124.51640166987808,27.302421545024576
293,-141.66666666666666,-153.53745346701226,-129.79587986632106,23.456816114345575
294,-144.0,-162.86674638381274,-125.13325361618726,37.280915582462114
295,-129.26666666666668,-145.06325249938288,-113.47008083395048,31.214241763798924
296,-141.2,-152.23061965419691,-130.16938034580306,21.796635826047407
297,-146.0,-162.70388207706353,-129.29611792293647,33.00706994973451
298,-147.4,-163.2239437365588,-131.57605626344122,31.26830130766087
299,-125.86666666666666,-137.64388270693948,-114.08945062639384,23.271919177889522
300,-139.93333333333334,-151.0813775650626,-128.78528910160406,22.028668189934276
301,-143.2,-155.03121547996372,-131.36878452003626,23.378622713923935
302,-140.33333333333334,-159.42378848573674,-121.24287818092994,37.72296677386632
303,-140.2,-165.90728441858022,-114.49271558141976,50.79790021907073
304,-122.86666666666666,-138.23749565802171,-107.49583767531159,30.37294117393894
305,-120.06666666666666,-134.61998501958814,-105.51334831374517,28.757530414754942
306,-123.53333333333333,-141.9428400046562,-105.12382666201046,36.3774044642489
307,-122.86666666666666,-135.71973325679878,-110.01360007653454,25.39781267922277
308,-120.53333333333333,-138.8973390417636,-102.16932762490308,36.287494019596096
309,-123.26666666666667,-139.67193474918392,-106.86139858414941,32.417005139621125
310,-128.66666666666666,-147.44512303836302,-109.88821029497029,37.10645346686866
311,-116.46666666666667,-129.41106708166092,-103.5222662516724,25.578289405057735
312,-118.0,-132.68242208296104,-103.31757791703896,29.01264092311028
313,-133.93333333333334,-150.8973359916859,-116.96933067498078,33.52107131674377
314,-128.13333333333333,-144.74174688702263,-111.52491977964402,32.81842301038989
315,-125.8,-144.99706355322778,-106.6029364467722,37.93362624374316
316,-115.33333333333333,-127.90407335103286,-102.7625933156338,24.83993200921094
317,-124.06666666666666,-139.35797950810755,-108.77535382522578,30.21581631456538
318,-131.53333333333333,-147.79476368908047,-115.27190297758618,32.13278007822473
319,-121.2,-133.93876028156237,-108.46123971843762,25.171942051948765
320,-133.8,-150.4785136348137,-117.12148636518631,32.956941605676946
321,-134.93333333333334,-149.85391811385023,-120.01274855281643,29.483253250315204
322,-130.86666666666667,-148.31334993927797,-113.41998339405538,34.47485395988728
323,-123.6,-138.8178149636098,-108.38218503639018,30.070583632513685
324,-126.53333333333333,-141.42574147728124,-111.64092518938543,29.42757588083365
325,-125.53333333333333,-144.53072688242997,-106.53593978423667,37.539075937244675
326,-120.33333333333333,-132.81547711881672,-107.85118954784994,24.664864799052832
327,-119.2,-133.30377043992925,-105.09622956007075,27.8692183839686
328,-134.13333333333333,-149.8686239987747,-118.39804266789197,31.09312178315684
329,-130.86666666666667,-155.2386213663103,-106.49471196702304,48.15927278889867
330,-129.46666666666667,-145.63754875259622,-113.29578458073712,31.953855618514783
331,-131.0,-147.63525744382162,-114.36474255617838,32.87146685703778
332,-129.73333333333332,-148.02430206939823,-111.44236459726841,36.14317209223464
333,-125.0,-137.55624402438883,-112.44375597561118,24.8112877537624
334,-132.6,-146.76850908176297,-118.43149091823702,27.997142711355387
335,-129.2,-143.55217351561157,-114.84782648438842,28.360065820327943
336,-129.93333333333334,-145.1631111668823,-114.70355549978437,30.09422240600714
337,-130.8,-143.6906491242468,-117.90935087575323,25.472076214291338
338,-134.93333333333334,-154.10660564354376,-115.76006102312293,37.88661446415548
339,-133.13333333333333,-148.20013114593857,-118.0665355207281,29.772171943313477
340,-125.73333333333333,-139.9867449784773,-111.47992168818936,28.164911187898717
341,-138.46666666666667,-151.39126680633717,-125.54206652699618,25.539163825170334
342,-136.0,-149.08755663470714,-122.91244336529287,25.86116780039138
343,-124.66666666666667,-138.869918959846,-110.46341437348735,28.06579571095195
344,-129.0,-141.76660811126692,-116.23339188873307,25.226969695149673
345,-132.06666666666666,-142.88830718582668,-121.24502614750665,21.383690565994968
346,-133.46666666666667,-147.99344677534614,-118.93988655798718,28.705090528026947
347,-140.6,-154.6207220863343,-126.5792779136657,27.705113848048587
348,-133.53333333333333,-145.78101305433142,-121.28565361233522,24.201561014851
349,-119.46666666666667,-132.11620785699947,-106.81712547633387,24.995644064961045
350,-123.53333333333333,-135.94304414979268,-111.12362251687398,24.52173638948832
351,-126.73333333333333,-141.53443141471956,-111.93223525194712,29.247146109587437
352,-127.33333333333333,-146.9930586318927,-107.67360803477398,38.84785136343522
353,-123.2,-133.45745817333795,-112.94254182666204,20.268859530488307
354,-133.86666666666667,-146.47429602764106,-121.25903730569227,24.912825790923215
355,-126.33333333333333,-138.28725057754585,-114.37941608912081,23.621082861620792
356,-125.6,-138.9392684390445,-112.26073156095549,26.358553323984477
357,-131.73333333333332,-148.01008582042132,-115.4565808462453,32.163056792261244
358,-121.66666666666667,-136.04079189737718,-107.29254143595617,28.403442670837556
359,-116.6,-127.54765228205979,-105.6523477179402,21.632691310452643
360,-115.86666666666666,-126.65892125005156,-105.07441208328176,21.325623606877762
361,-120.33333333333333,-134.40130580563655,-106.2653608610301,27.79848117353816
362,-114.0,-129.08167323461012,-98.91832676538988,29.80156595438121
363,-125.2,-140.46307483802366,-109.93692516197633,30.160017683460776
364,-121.6,-135.30916905821306,-107.89083094178693,27.08948135347002
365,-137.66666666666666,-152.08585815784463,-123.24747517548869,28.492494138320396
366,-126.4,-142.57820088335603,-110.22179911664396,31.96831764940616
367,-135.73333333333332,-152.37932988817207,-119.08733677849456,32.892687468324766
368,-124.2,-138.4074990902692,-109.99250090973081,28.074187432586537
369,-123.26666666666667,-141.69712164306475,-104.83621169026858,36.4187985645997
370,-127.6,-141.10716697987488,-114.09283302012511,26.690322840560274
371,-122.86666666666666,-136.52101030984213,-109.21232302349121,26.98114568031206
372,-115.53333333333333,-125.43104942753817,-105.63561723912849,19.558004897114518
373,-134.06666666666666,-148.572981597043,-119.56035173629033,28.664651091932413
374,-123.06666666666666,-133.74376720802948,-112.38956612530383,21.098077848204298
375,-127.73333333333333,-140.00413232811644,-115.46253433855021,24.247244975231492
376,-139.93333333333334,-156.53208068812333,-123.33458597854333,32.7993224862276
377,-122.93333333333334,-134.13637766032735,-111.73028900633933,22.137349033301664
378,-135.4,-146.70670679238162,-124.09329320761837,22.342187299665476
379,-136.2,-151.04801159003378,-121.3519884099662,29.339847761477337
380,-136.46666666666667,-150.85527592280835,-122.07805741052499,28.432063277613572
381,-128.46666666666667,-139.74171861004706,-117.19161472328628,22.27963694098767
382,-147.53333333333333,-165.69446452342453,-129.37220214324213,35.88661155485272
383,-132.4,-142.7215087958216,-122.07849120417842,20.395424323444054
384,-131.93333333333334,-145.71908983026134,-118.14757683640534,27.240819044629006
385,-122.53333333333333,-132.5510732366434,-112.51559343002329,19.79517337354965
386,-131.66666666666666,-145.60907145419378,-117.72426187913953,27.550357932742404
387,-122.6,-135.72247282929385,-109.47752717070614,25.93016261679308
388,-132.0,-149.00876511292535,-114.99123488707464,33.60952246016001
389,-124.66666666666667,-134.91990718062308,-114.41342615271026,20.260525385312416
390,-120.2,-131.44523133302883,-108.95476866697118,22.22071105972984
391,-124.33333333333333,-136.5276443809459,-112.13902228572076,24.096103880549283
